16:57:10.506 > ,3003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:57:10.506 > ,3005,32.90,45.00,31.48,1009.60,301.10,34.21,977.04,305.97,33.12,-16.71,-0.07,0.31
16:57:12.049 > ,3007,32.90,45.00,31.46,1009.61,301.02,34.21,977.08,305.62,33.14,-16.81,-0.07,0.34
16:57:14.098 > ,3008,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:57:15.631 > ,3010,32.90,45.00,31.44,1009.60,301.14,34.20,977.06,305.75,33.08,-16.85,-0.07,0.36
16:57:17.173 > ,3012,32.90,45.00,31.43,1009.63,300.89,34.18,977.06,305.73,33.10,-16.86,-0.09,0.35
16:57:19.223 > ,3014,32.90,45.00,31.43,1009.59,301.18,34.20,977.07,305.64,33.11,-16.90,-0.08,0.35
16:57:21.273 > ,3016,32.90,45.00,31.43,1009.60,301.10,34.20,977.06,305.73,33.17,-16.92,-0.06,0.31
16:57:23.323 > ,3018,32.90,45.00,31.41,1009.62,300.97,34.20,977.10,305.44,33.27,-16.93,-0.07,0.32
16:57:25.373 > ,3020,32.90,45.00,31.39,1009.62,300.95,34.19,977.05,305.88,33.21,-16.99,-0.07,0.32
16:57:27.423 > ,3021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:57:28.955 > ,3023,32.90,46.00,31.37,1009.61,301.03,34.19,977.06,305.73,33.08,-17.02,-0.06,0.33
16:57:30.497 > ,3025,32.90,45.00,31.39,1009.64,300.78,34.19,977.09,305.48,33.10,-17.07,-0.08,0.34
16:57:32.548 > ,3026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:57:34.080 > ,3028,32.90,45.00,31.41,1009.64,300.77,34.16,977.04,305.92,33.17,-17.08,-0.07,0.31
16:57:35.623 > ,3029,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:57:37.156 > ,3031,32.90,45.00,31.40,1009.61,301.01,34.14,977.05,305.82,33.39,-17.14,-0.07,0.31
16:57:38.698 > 
