16:57:49.973 > ,3042,32.90,45.00,31.37,1009.65,300.74,34.09,977.05,305.89,33.40,-17.30,-0.07,0.33
16:57:49.973 > ,3044,32.90,46.00,31.36,1009.62,300.97,34.12,977.03,306.00,33.41,-17.31,-0.06,0.31
16:57:52.023 > ,3045,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:57:53.556 > ,3047,32.90,46.00,31.35,1009.64,300.75,34.14,977.03,306.05,33.23,-17.36,-0.07,0.30
16:57:55.098 > ,3048,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:57:56.631 > ,3050,32.90,46.00,31.35,1009.62,300.94,34.15,977.05,305.84,33.18,-17.35,-0.08,0.30
16:57:58.173 > ,3052,32.90,46.00,31.34,1009.62,300.95,34.10,977.04,305.96,33.25,-17.35,-0.08,0.30
16:58:00.223 > ,3054,32.90,46.00,31.36,1009.59,301.25,34.12,977.06,305.74,33.27,-17.34,-0.07,0.27
16:58:02.273 > ,3056,32.90,46.00,31.36,1009.62,301.16,34.13,977.06,305.72,33.36,-17.34,-0.06,0.28
16:58:04.323 > ,3057,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:58:05.856 > ,3059,32.90,46.00,31.35,1009.59,301.22,34.15,977.06,305.74,33.34,-17.40,-0.07,0.32
16:58:07.398 > ,3060,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:58:08.931 > ,3062,32.90,46.00,31.34,1009.59,301.26,34.13,977.00,306.24,33.21,-17.38,-0.08,0.32
16:58:10.473 > ,3063,32.90,46.00,31.36,1009.56,301.46,34.14,977.04,305.93,33.24,-17.39,-0.08,0.32
16:58:12.008 > ,3065,32.80,46.00,31.37,1009.58,301.27,34.15,977.03,306.05,33.23,-17.37,-0.07,0.30
16:58:14.058 > ,3066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:58:15.590 > ,3068,32.90,46.00,31.41,1009.59,301.19,34.20,977.01,306.15,33.23,-17.37,-0.08,0.29
16:58:17.132 > ,3069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:58:18.665 > ,3071,32.90,46.00,31.39,1009.61,301.06,34.16,977.05,305.83,33.37,-17.38,-0.08,0.30
16:58:20.207 > ,3073,32.90,46.00,31.39,1009.58,301.33,34.15,977.04,305.97,33.14,-17.41,-0.08,0.35
16:58:22.257 > ,3075,32.90,46.00,31.40,1009.60,301.13,34.16,977.04,305.92,33.13,-17.36,-0.08,0.32
16:58:24.306 > ,3077,32.90,46.00,31.42,1009.60,301.11,34.15,977.05,305.81,33.25,-17.34,-0.07,0.32
16:58:26.357 > ,3078,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:58:27.889 > ,3080,32.90,46.00,31.43,1009.62,301.07,34.15,977.07,305.70,33.39,-17.28,-0.08,0.29
16:58:29.431 > ,3081,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:58:30.964 > ,3084,32.90,46.00,31.40,1009.57,301.35,34.12,977.04,305.94,33.49,-17.27,-0.09,0.31
16:58:33.531 > ,3086,32.90,46.00,31.40,1009.60,301.14,34.14,977.02,306.13,33.36,-17.26,-0.08,0.33
16:58:35.582 > ,3087,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:58:37.114 > ,3089,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:58:39.164 > ,3091,32.90,46.00,31.43,1009.57,301.16,34.11,977.04,305.91,33.59,-17.20,-0.09,0.32
16:58:40.706 > ,3092,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:58:42.239 > ,3094,32.90,46.00,31.43,1009.57,301.40,34.10,977.05,305.82,33.53,-17.12,-0.07,0.27
16:58:43.781 > ,3096,32.90,46.00,31.41,1009.58,301.28,34.07,977.02,306.19,33.60,-17.10,-0.08,0.27
16:58:45.832 > ,3097,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:58:47.365 > ,3099,32.90,46.00,31.37,1009.58,301.35,34.07,977.03,306.04,33.61,-17.12,-0.09,0.32
16:58:48.907 > ,3101,32.90,46.00,31.37,1009.54,301.38,34.10,977.02,306.10,33.46,-17.08,-0.09,0.30
16:58:50.957 > ,3103,32.90,46.00,31.41,1009.58,301.34,34.10,977.03,306.05,33.43,-17.04,-0.09,0.30
16:58:53.007 > ,3105,32.90,46.00,31.41,1009.59,301.24,34.11,977.03,306.04,33.42,-17.02,-0.09,0.31
16:58:55.057 > ,3107,32.90,46.00,31.42,1009.59,301.22,34.13,977.05,305.81,33.38,-17.02,-0.09,0.29
16:58:57.107 > ,3109,32.90,46.00,31.44,1009.56,301.48,34.15,977.02,306.07,33.36,-17.00,-0.08,0.29
16:58:59.156 > ,3110,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:59:00.690 > ,3112,32.90,46.00,31.45,1009.58,301.35,34.16,977.03,306.01,33.31,-16.99,-0.09,0.31
16:59:02.232 > ,3114,32.90,46.00,31.46,1009.59,301.25,34.17,977.07,305.68,33.24,-16.95,-0.09,0.29
16:59:04.281 > ,3116,32.90,46.00,31.47,1009.60,301.17,34.14,977.03,305.98,33.27,-16.96,-0.10,0.31
16:59:06.331 > ,3117,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:59:07.864 > ,3119,32.90,46.00,31.51,1009.58,301.33,34.17,977.02,306.08,33.32,-16.89,-0.09,0.30
16:59:09.406 > ,3121,32.90,46.00,31.52,1009.59,301.23,34.17,977.00,306.24,33.30,-16.87,-0.09,0.29
16:59:11.456 > ,3123,32.90,46.00,31.51,1009.57,301.41,34.15,977.04,305.92,33.46,-16.86,-0.08,0.30
16:59:13.506 > ,3125,32.90,46.00,31.53,1009.57,301.43,34.16,977.03,306.04,33.31,-16.90,-0.09,0.33
16:59:15.555 > ,3127,32.90,46.00,31.51,1009.57,301.36,34.14,977.03,306.02,33.23,-16.86,-0.09,0.32
16:59:17.605 > ,3129,32.90,46.00,31.51,1009.57,301.38,34.14,977.03,306.02,33.29,-16.88,-0.09,0.37
16:59:19.655 > ,3131,32.90,46.00,31.52,1009.55,301.54,34.13,977.01,306.18,33.33,-16.78,-0.09,0.32
16:59:21.705 > ,3133,32.90,46.00,31.54,1009.58,301.29,34.14,977.04,305.95,33.32,-16.76,-0.09,0.29
16:59:23.755 > ,3134,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:59:25.287 > ,3136,33.00,47.00,31.53,1009.58,301.29,34.12,977.03,305.99,33.46,-16.73,-0.09,0.28
16:59:26.829 > ,3138,32.90,46.00,31.52,1009.63,300.89,34.11,977.03,306.05,33.39,-16.73,-0.08,0.30
16:59:28.880 > ,3140,32.90,46.00,31.52,1009.55,301.56,34.12,977.04,305.92,33.31,-16.68,-0.08,0.30
16:59:30.929 > ,3142,32.90,46.00,31.51,1009.58,301.34,34.12,977.02,306.12,33.33,-16.75,-0.09,0.39
16:59:32.979 > ,3144,32.90,46.00,31.50,1009.57,301.36,34.10,977.02,306.06,33.36,-16.62,-0.08,0.30
16:59:35.029 > ,3145,32.90,46.00,31.51,1009.59,301.21,34.12,977.01,306.07,33.36,-16.58,-0.08,0.29
16:59:36.564 > ,3147,32.90,45.00,31.52,1009.57,301.43,34.14,977.00,306.27,33.36,-16.56,-0.08,0.28
16:59:38.614 > ,3149,32.90,46.00,31.51,1009.58,301.33,34.13,977.03,306.01,33.50,-16.54,-0.08,0.30
16:59:40.664 > ,3151,32.90,46.00,31.48,1009.58,301.29,34.12,977.01,306.21,33.41,-16.54,-0.08,0.32
16:59:42.714 > ,3153,32.90,45.00,31.48,1009.57,301.41,34.10,977.00,306.26,33.35,-16.52,-0.09,0.31
16:59:44.763 > ,3155,32.90,45.00,31.47,1009.56,301.49,34.10,977.01,306.22,33.38,-16.55,-0.09,0.33
16:59:46.813 > ,3156,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:59:48.346 > ,3158,32.90,45.00,31.47,1009.56,301.47,34.09,977.00,306.31,33.49,-16.47,-0.09,0.31
16:59:49.888 > ,3159,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:59:51.421 > ,3161,32.90,45.00,31.47,1009.57,301.40,34.08,976.99,306.33,33.62,-16.46,-0.09,0.29
16:59:52.963 > ,3163,33.00,47.00,31.46,1009.56,301.47,34.05,976.98,306.45,33.63,-16.46,-0.07,0.30
16:59:55.013 > ,3164,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:59:56.546 > ,3166,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16:59:58.596 > ,3168,32.90,45.00,31.45,1009.54,301.63,34.10,977.03,306.04,33.45,-16.41,-0.08,0.31
17:00:00.138 > ,3170,33.00,46.00,31.45,1009.59,301.20,34.07,977.01,306.22,33.53,-16.41,-0.08,0.31
17:00:02.187 > ,3172,33.00,46.00,31.45,1009.59,301.23,34.06,977.02,306.09,33.60,-16.36,-0.09,0.31
17:00:04.238 > ,3174,32.90,45.00,31.43,1009.55,301.58,34.07,977.02,306.08,33.60,-16.35,-0.09,0.31
17:00:06.287 > ,3176,33.00,47.00,31.41,1009.58,301.28,34.07,977.03,306.06,33.66,-16.32,-0.08,0.31
17:00:08.337 > ,3178,32.90,46.00,31.41,1009.56,301.49,34.09,977.02,306.09,33.55,-16.29,-0.08,0.29
17:00:10.387 > ,3179,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:00:11.920 > ,3181,32.90,46.00,31.40,1009.60,301.13,34.06,977.02,306.13,33.53,-16.30,-0.09,0.33
17:00:13.463 > ,3183,32.90,46.00,31.41,1009.59,301.20,34.04,977.01,306.18,33.60,-16.25,-0.07,0.33
17:00:15.512 > ,3185,32.90,46.00,31.42,1009.58,301.31,34.04,977.01,306.21,33.64,-16.23,-0.08,0.31
17:00:17.562 > ,3187,33.00,47.00,31.42,1009.60,301.15,34.03,977.00,306.23,33.71,-16.19,-0.07,0.29
17:00:19.612 > ,3188,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:00:21.145 > ,3190,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:00:23.195 > ,3192,33.00,47.00,31.40,1009.55,301.52,34.02,976.98,306.42,33.58,-16.15,-0.08,0.31
17:00:24.737 > ,3194,33.00,47.00,31.40,1009.56,301.45,34.02,977.02,306.11,33.53,-16.21,-0.08,0.38
17:00:26.787 > ,3196,32.90,46.00,31.42,1009.60,301.15,34.01,977.00,306.24,33.59,-16.10,-0.07,0.34
17:00:28.837 > ,3198,32.90,46.00,31.43,1009.59,301.18,34.04,977.03,306.05,33.61,-16.04,-0.08,0.32
17:00:30.888 > ,3200,33.00,47.00,31.45,1009.60,301.15,34.05,977.00,306.27,33.62,-15.99,-0.07,0.30
17:00:32.938 > ,3201,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:00:34.471 > ,3204,32.90,46.00,31.47,1009.60,301.09,34.08,976.99,306.34,33.52,-16.00,-0.08,0.34
17:00:37.038 > ,3205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:00:38.570 > ,3207,32.90,46.00,31.48,1009.56,301.46,34.08,977.01,306.22,33.46,-15.92,-0.08,0.29
17:00:40.113 > ,3209,33.00,47.00,31.50,1009.58,301.31,34.07,976.98,306.41,33.46,-15.92,-0.08,0.31
17:00:42.163 > ,3211,33.00,47.00,31.52,1009.59,301.23,34.08,977.00,306.30,33.46,-15.89,-0.08,0.29
17:00:44.213 > ,3213,33.00,47.00,31.53,1009.60,301.17,34.09,977.05,305.88,33.56,-15.86,-0.09,0.28
17:00:46.263 > ,3215,33.00,47.00,31.53,1009.59,301.20,34.11,977.01,306.22,33.62,-15.83,-0.08,0.27
17:00:48.313 > ,3217,33.00,47.00,31.53,1009.57,301.40,34.11,977.02,306.12,33.61,-15.84,-0.09,0.30
17:00:50.362 > ,3218,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:00:51.895 > ,3220,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:00:53.945 > ,3222,32.90,46.00,31.56,1009.58,301.33,34.10,977.01,306.17,33.51,-15.82,-0.10,0.33
17:00:55.487 > ,3224,32.90,46.00,31.57,1009.57,301.37,34.11,977.05,305.86,33.58,-15.78,-0.09,0.29
17:00:57.537 > ,3225,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:00:59.070 > ,3227,33.00,47.00,31.57,1009.57,301.38,34.12,977.03,306.04,33.53,-15.75,-0.09,0.28
17:01:00.612 > ,3228,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:01:02.655 > ,3230,32.90,46.00,31.58,1009.59,301.21,34.14,977.02,306.09,33.62,-15.77,-0.09,0.31
17:01:04.197 > ,3232,32.90,46.00,31.58,1009.59,301.25,34.15,977.04,305.93,33.49,-15.74,-0.10,0.31
17:01:06.247 > ,3233,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:01:07.780 > ,3235,33.00,47.00,31.60,1009.60,301.14,34.14,977.05,305.87,33.51,-15.78,-0.10,0.33
17:01:09.322 > ,3237,33.00,47.00,31.60,1009.59,301.23,34.12,977.02,306.10,33.57,-15.75,-0.10,0.28
17:01:11.372 > ,3239,33.00,47.00,31.62,1009.56,301.47,34.12,977.03,306.02,33.62,-15.71,-0.09,0.25
17:01:13.422 > ,3241,33.00,47.00,31.62,1009.54,301.61,34.13,977.02,306.07,33.76,-15.74,-0.10,0.26
17:01:15.472 > ,3242,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:01:17.004 > ,3244,33.00,47.00,31.61,1009.58,301.31,34.13,977.03,306.01,33.52,-15.77,-0.11,0.30
17:01:18.547 > ,3246,33.00,47.00,31.60,1009.59,301.25,34.13,977.03,306.02,33.47,-15.77,-0.11,0.33
17:01:20.597 > ,3248,33.00,46.00,31.57,1009.55,301.58,34.11,977.02,306.10,33.46,-15.77,-0.10,0.31
17:01:22.647 > ,3249,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:01:24.179 > ,3251,32.90,45.00,31.59,1009.56,301.46,34.09,977.02,306.09,33.57,-15.78,-0.08,0.31
17:01:25.721 > ,3252,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:01:27.254 > ,3254,33.00,46.00,31.57,1009.55,301.55,34.08,977.06,305.80,33.63,-15.80,-0.06,0.30
17:01:28.796 > ,3255,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:01:30.330 > ,3257,33.00,47.00,31.55,1009.57,301.39,34.10,977.04,305.92,33.51,-15.86,-0.09,0.34
17:01:31.872 > ,3258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:01:33.405 > ,3260,33.10,46.00,31.55,1009.58,301.29,34.08,977.01,306.21,33.48,-15.84,-0.09,0.34
17:01:34.947 > ,3262,33.10,46.00,31.51,1009.56,301.48,34.05,976.99,306.37,33.58,-15.83,-0.11,0.35
17:01:36.996 > ,3264,33.00,46.00,31.52,1009.58,301.28,34.03,977.00,306.28,33.67,-15.79,-0.09,0.30
17:01:39.047 > ,3266,33.00,46.00,31.52,1009.59,301.18,34.05,977.02,306.14,33.76,-15.78,-0.08,0.29
17:01:41.097 > ,3267,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:01:42.629 > ,3269,33.00,47.00,31.50,1009.58,301.27,34.06,976.96,306.59,33.69,-15.81,-0.10,0.31
17:01:44.171 > ,3270,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:01:45.704 > ,3272,33.00,47.00,31.49,1009.57,301.41,34.06,976.98,306.48,33.54,-15.82,-0.08,0.32
17:01:47.246 > ,3273,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:01:48.779 > ,3275,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17:01:50.829 > ,3277,33.00,46.00,31.51,1009.55,301.59,34.05,976.99,306.34,33.60,-15.78,-0.08,0.33
